日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg
2017/02/15,沙鹿,PM2.5,34,36,34,38,43,43,41,50,51,44,38,28,19,16,23,28,30,30,25,29,33,33,40,35,34
2017/02/16,沙鹿,PM2.5,35,39,54,67,61,58,59,54,47,46,43,40,29,20,23,24,26,30,43,38,23,20,18,20,38
2017/02/17,沙鹿,PM2.5,19,19,21,18,18,17,14,14,18,21,-2#,14,6,4,12,14,15,22,22,22,33,29,21,25,18
2017/02/18,沙鹿,PM2.5,30,35,43,55,72,76,69,66,64,63,59,53,49,44,38,34,31,30,33,38,32,28,31,29,46
2017/02/19,沙鹿,PM2.5,28,26,24,23,22,23,28,31,36,38,42,47,39,28,32,41,42,44,47,52,55,65,71,72,40
2017/02/20,沙鹿,PM2.5,74,76,68,49,35,35,30,23,27,29,35,33,30,38,36,33,36,39,47,54,58,53,38,35,42
2017/02/21,沙鹿,PM2.5,46,47,30,21,25,27,23,19,13,12,14,16,21,19,18,23,25,24,22,20,16,14,16,18,22
2017/02/22,沙鹿,PM2.5,17,17,19,20,22,21,15,18,23,23,22,21,21,20,14,4,1,4,17,28,26,24,28,28,19
2017/02/23,沙鹿,PM2.5,28,28,25,21,21,20,18,17,15,19,22,-2#,28,25,24,20,17,15,14,19,21,22,16,9,20
2017/02/24,沙鹿,PM2.5,8,9,9,10,12,15,15,14,13,7,5,4,1,4,4,1,4,4,4,7,10,9,9,10,8
2017/02/25,沙鹿,PM2.5,7,7,10,12,6,2,8,7,3,6,8,7,2,2,5,4,3,4,7,9,13,12,9,6,7
2017/02/26,沙鹿,PM2.5,4,4,4,2,1,2,1,3,4,2,4,4,4,9,16,20,20,19,19,24,25,21,19,17,10
2017/02/27,沙鹿,PM2.5,16,12,10,12,18,21,23,26,27,28,28,27,25,29,31,26,24,22,19,19,20,20,25,28,22
2017/02/28,沙鹿,PM2.5,28,28,28,31,35,33,34,42,46,47,44,38,29,23,21,23,26,20,18,21,22,24,28,29,30
2017/03/01,沙鹿,PM2.5,23,15,16,16,15,14,16,18,20,21,18,17,14,10,-2#,18,21,23,28,28,27,26,22,25,20
2017/03/02,沙鹿,PM2.5,27,25,28,30,33,36,39,43,41,41,38,30,28,30,37,36,33,31,27,23,19,17,18,18,30
