日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,sum,avg
2017/02/11,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/12,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/13,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/14,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/15,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/16,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/17,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/18,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/19,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/20,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/21,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/22,沙鹿,RAINFALL,0,0,0,0,0,0.6,0.2,0,0,0,0,1.8,1.8,1.6,4.6,0,0,0,0.2,0,0,0,0,0,10.8,0.5
2017/02/23,沙鹿,RAINFALL,0,0,0,0,0.2,0,0,0,0,0,0,0#,0#,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0
2017/02/24,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0.6,0.2,0,1.4,0.1
2017/02/25,沙鹿,RAINFALL,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0
2017/02/26,沙鹿,RAINFALL,0,0,0,2.2,3.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.3
2017/02/27,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/02/28,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
