發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
107,01,08,11,25,2,01大同區,大同區鄭州路145號與鄭州路口(中興醫院出口),0,1,1,B03,1,26,3,6,40,3,02
107,01,08,11,25,2,01大同區,大同區鄭州路145號與鄭州路口(中興醫院出口),0,1,2,B01,1,51,2,6,40,3,02
107,01,14,18,10,2,01大同區,大同區保安街1-4號,0,1,1,B01,1,67,3,7,50,14,09
107,01,14,18,10,2,01大同區,大同區保安街1-4號,0,1,2,C03,2,68,2,7,50,14,09
107,01,27,08,29,2,01大同區,大同區承德路3段與敦煌路口,0,1,1,B03,1,49,3,8,50,4,01
107,01,27,08,29,2,01大同區,大同區承德路3段與敦煌路口,0,1,2,C03,1,26,2,8,50,4,01
107,02,02,15,12,2,01大同區,大同區重慶北路2段與蘭州街口,0,1,1,B02,1,43,3,7,50,14,09
107,02,02,15,12,2,01大同區,大同區重慶北路2段與蘭州街口,0,1,2,C03,2,47,2,7,50,14,09
107,02,07,00,50,2,01大同區,大同區承德路1段與市民大道1段口,0,1,1,C03,2,26,2,7,40,14,09
107,02,07,00,50,2,01大同區,大同區承德路1段與市民大道1段口,0,1,2,B03,1,43,3,7,40,14,09
107,02,07,00,50,2,01大同區,大同區承德路1段與市民大道1段口,0,1,3,A04,1,43,3,7,40,14,09
107,01,04,17,12,2,01大同區,大同區寧夏路與平陽街口,0,1,1,B03,2,39,3,7,30,3,01
107,01,04,17,12,2,01大同區,大同區寧夏路與平陽街口,0,1,2,H01,2,81,2,7,30,3,01
107,01,05,09,50,2,01大同區,大同區民樂街83號,0,1,1,C03,2,27,2,6,50,14,09
107,01,05,09,50,2,01大同區,大同區民樂街83號,0,1,2,H01,2,22,3,6,50,14,09
107,01,09,21,47,2,01大同區,大同區承德路3段與民族西路口,0,1,1,B03,1,50,3,7,50,4,01
107,01,09,21,47,2,01大同區,大同區承德路3段與民族西路口,0,1,2,H01,2,42,2,7,50,4,01
107,01,10,23,06,2,01大同區,大同區民族西路86號,0,1,1,B03,1,32,3,7,50,14,09
107,01,10,23,06,2,01大同區,大同區民族西路86號,0,1,2,C03,2,27,2,7,50,14,09
107,01,28,20,49,2,01大同區,大同區民權西路194號,0,1,1,C03,1,54,2,6,50,14,09
107,01,28,20,49,2,01大同區,大同區民權西路194號,0,1,2,,3,0,,6,50,14,09
107,01,29,06,10,2,01大同區,大同區酒泉街64號,0,1,1,C03,2,47,3,7,50,14,09
107,01,29,06,10,2,01大同區,大同區酒泉街64號,0,1,2,H01,2,88,2,7,50,14,09
107,03,17,12,17,2,01大同區,大同區承德路3段與酒泉街口,0,1,1,B02,1,53,3,8,50,14,09
107,03,17,12,17,2,01大同區,大同區承德路3段與酒泉街口,0,1,2,C03,1,23,2,8,50,14,09
107,03,31,11,41,2,01大同區,大同區庫倫街2號,0,1,1,B03,2,50,2,8,50,14,09
