"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1386","林口老街","42","2","林口區","20180719111843","25.077153","121.393777","中正路115號(東側停車場)","Linkou Dist.","LOINKOU STREET","No. 115, Zhongzheng Rd., Linkou Dist.","40","1"
"1387","板橋果菜批發市場","40","16","板橋區","20180719111825","25.021153","121.450020","板城路/香社一路口","Banqiao Dist.","Banqiao Fruit and Vegetable Wholesale Market","Bancheng Rd./ Siangshe 1nd Rd.,Banqiao Dist.","24","1"
"1388","安和公園","34","9","新店區","20180719111821","24.974110","121.518853","安和路二段163號(東南側空地)","Xindian Dist.","Anhe Park","No.163, Sec. 2, Anhe Rd., Xindian Dist.","25","1"
"1389","東陽市民活動中心","32","4","樹林區","20180719111819","24.982192","121.412517","鎮前街467號(活動中心路側)","Shulin Dist.","Dongyang Civil Activity Center","No.467, Zhenqian St., Shulin Dist","28","1"
"1390","遠雄左岸","40","23","中和區","20180719111836","25.009850","121.487799","中原街90號(對面)","Zhonghe Dist.","Yuanxiong Left Bank","No.90, Zhongyuan 3rd St., Zhonghe Dist.","16","1"
"1391","瓦磘溝(福真里)","32","15","中和區","20180719111820","25.004294","121.494692","中山路二段312巷33弄27號","Zhonghe Dist.","Wayao Ditch (Fuzhen Village)","No.27, Aly. 33, Ln. 312, Sec. 2, Zhongshan Rd., Zhonghe Dist.","16","1"
"1392","中正路161巷口","36","17","中和區","20180719111815","24.992938","121.499333","中正路161巷26弄5號(對面空地)","Zhonghe Dist.","Ln.161,Zhongzheng & Zhongzheng Intersection","No.5, Aly. 26, Ln. 161, Zhongzheng Rd., Zhonghe Dist","19","1"
"1394","瑞峰橋","28","2","瑞芳區","20180719111828","25.107120","121.810410","三爪子坑路115號(對面汽車停車格)","Ruifang Dist.","Ruifeng Bridge","No.115, Sanzhuazikeng Rd.(opposite)","25","1"
"1395","民族二街明峰街口","30","7","汐止區","20180719111820","25.071049","121.635015","汐止區明峰街13號(右側路側)","Xizhi Dist.","Minzu 2nd & Mingfeng Intersection","No.13, Mingfeng St., Xizhi Dist.","23","1"
"1401","光復國小","38","8","板橋區","20180719111842","25.015064","121.481930","長壽街168號(對面人行道)","Banqiao Dist.","Kuangfu Elementary School","No.168, Changshou St., Banqiao Dist.","29","1"
"1402","世貿國家公園社區","30","0","汐止區","20180719111820","25.072887","121.658646","長江路101號(對面)","Xizhi Dist.","Shi Mao National Park Community","No.101, Changjiang St., Xizhi Dist.","30","1"
"1403","新店新和國小","42","16","新店區","20180719111821","24.984975","121.517682","安和路三段113號(對面人行道)","Xindian Dist.","Hsin Tien Xinhe Elementary School","No.113, Sec. 3, Anhe Rd., Xindian Dist.","26","1"
"1404","立德青雲路口","36","8","土城區","20180719111834","24.988355","121.460675","立德路2號(對面)","Tucheng Dist.","Lide & Qingyun Intersection","No.2, Lide Rd., Tucheng Dist.","28","1"
