"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1484","浮洲合宜住宅(合宜一路)","32","4","板橋區","20180719111833","24.996520","121.442760","大觀路二段265巷/合宜一路(東南側)","Banqiao Dist.","Fuzhou Appropriate House ( Heyi 1st. Road )","Aly. 265, Sec. 2, Daguan Rd./Heyi 1st Rd., Banqiao Dist.","28","1"
"1485","文山國中","30","9","新店區","20180719111820","24.955310","121.539270","北宜路一段118號(對面)","Xindian Dist.","Wenshan Junior High School","No.118, Sec. 1, Beiyi Rd., Xindian Dist.(opposite)","21","1"
"1486","臺北大學(資訊中心)","56","44","三峽區","20180719111816","24.943170","121.369520","大學路151號(資訊中心旁)","Sanxia Dist.","NTPU(Computer Center)","No.151, Daxue Rd., Sanxia Dist.","12","1"
"1488","新莊田徑場","42","3","新莊區","20180719111842","25.043570","121.452440","復興路一段209號 (對面)","Xinzhuang Dist.","Xinzhuang Stadium","No.209, Sec. 1, Fuxing Rd., Xinzhuang Dist.(opposite)","39","1"
"1489","新泰國中","30","19","新莊區","20180719111844","25.042880","121.444260","新泰路359號(旁)","Xinzhuang Dist.","Xintai Junior High School","No.359, Xintai Rd., Xinzhuang Dist.","10","1"
"1490","碧潭渡船頭","32","16","新店區","20180719111838","24.953100","121.537460","新店路36號(對面)","Xindian Dist.","Bitan Ferry","No.36, Xindian Rd., Xindian Dist.(opposite)","14","1"
"1491","山佳火車站","32","7","樹林區","20180719111825","24.972220","121.392640","中山路三段108號","Shulin Dist.","Shanjia Railway Station","No.108, Sec. 3, Zhongshan Rd., Shulin Dist.","25","1"
"1492","新北市勞工活動中心","34","24","五股區","20180719111845","25.061490","121.450980","五工六路9號(前廣場)","Wugu Dist.","New Taipei City Labor Activity Center","No.9, Wugong 6th Rd., Wugu Dist.","10","1"
"1493","板橋重慶公園","40","8","板橋區","20180719111821","25.000080","121.463160","重慶路276號(對面)","Banqiao Dist.","Banqiao Chongqing Park","No.276, Chongqing Rd., Banqiao Dist.(opposite)","32","1"
"1494","林口社區運動公園(公園路)","40","9","林口區","20180719111842","25.074640","121.374400","公園路192號(旁)","Linkou Dist.","Linkou Community Sports Park(Gongyuan Rd.)","No.192, Gongyuan Rd., Linkou Dist.","31","1"
"1495","山北公園","32","17","中和區","20180719111847","25.006530","121.500140","莊敬路33巷36弄2號(對面)","Zhonghe Dist.","Shanbei Park","No.2, Aly. 36, Ln. 33, Zhuangjing Rd., Zhonghe Dist.(opposite)","15","1"
"1496","景平大勇街口","38","16","中和區","20180719111844","24.992020","121.515630","景平路127號(旁)","Zhonghe Dist.","Jingping & Dayong Intersection","No.127, Jingping Rd., Zhonghe Dist.","22","1"
"1498","頭前國小","30","14","新莊區","20180719111823","25.052480","121.465270","頭前路93號(對面)","Xinzhuang Dist.","Touqian Elementary School","No.93, Touqian Rd., Xinzhuang Dist.(opposite)","16","1"
"1500","忠孝活動中心","28","5","永和區","20180719111829","25.016770","121.515280","忠孝街26巷8號(前)","Yonghe Dist.","Zhongxiao Activity Center","No.8, Ln. 26, Zhongxiao St., Yonghe Dist.","19","1"
"1502","縣民漢生東路口","60","10","板橋區","20180719111828","25.015600","121.467090","縣民大道二段112號(前)","Banqiao Dist.","Xianmin & Hansheng E. Intersection","No.112, Sec. 2, Xianmin Blvd., Banqiao Dist.","49","1"
"1503","時光公園","40","19","板橋區","20180719111832","25.036150","121.479730","華江陸橋旁/文化路二段北側公園口","Banqiao Dist.","Time Park","Huajiang Bridge/Sec. 2, Wenhua Rd., Banqiao Dist.","20","1"
"1504","積穗國中","32","10","中和區","20180719111837","24.999770","121.478080","民安街71號(對面)","Zhonghe Dist.","Jisui Junior High School","No.71, Min’an St., Zhonghe Dist.(opposite)","22","1"
"1505","員和公園","34","25","土城區","20180719111828","24.979040","121.442540","中央路二段66號(對面)","Tucheng Dist.","Yuanhe Park","No.66, Sec. 2, Zhongyang Rd., Tucheng Dist.(opposite)","9","1"
"1506","環河公園","36","6","板橋區","20180719111835","25.016660","121.450640","南雅西路二段301巷41弄5-5號(旁)","Banqiao Dist.","Huanhe Park","No.5-5, Aly. 41, Ln. 301, Sec. 2, Nanya W. Rd., Banqiao Dist.","29","1"
