日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg
2017/01/01,沙鹿,PM10,48,64,72,71,70,67,62,64,78,80,81,73,48,41,44,47,54,58,63,66,62,62,65,64,62.7
2017/01/02,沙鹿,PM10,80,97,104,108,114,116,109,111,100,67,54,59,59,50,45,49,57,66,79,91,91,81,71,74,80.5
2017/01/03,沙鹿,PM10,77,75,75,71,70,59,49,46,41,38,38,48,55,51,53,55,49,51,58,58,52,50,46,45,54.6
2017/01/04,沙鹿,PM10,44,38,33,32,28,29,36,42,51,52,52,57,56,51,52,57,57,52,55,65,70,73,71,68,50.9
2017/01/05,沙鹿,PM10,74,89,108,130,147,151,140,134,117,95,92,102,130,152,140,106,92,91,99,94,80,84,85,79,108.8
2017/01/06,沙鹿,PM10,82,93,100,108,98,84,84,83,83,80,,82,82,74,67,68,74,87,88,80,83,84,74,55,82.3
2017/01/07,沙鹿,PM10,50,59,61,58,63,78,86,94,107,109,96,76,69,72,67,69,84,95,100,110,113,109,111,97,84.7
2017/01/08,沙鹿,PM10,63,42,38,32,27,31,38,43,56,65,60,53,54,61,62,66,63,53,53,47,41,41,35,27,48.0
2017/01/09,沙鹿,PM10,23,21,23,25,28,27,26,34,39,38,42,49,62,79,86,84,68,53,45,38,39,42,43,42,44.0
2017/01/10,沙鹿,PM10,42,42,42,43,47,50,48,47,46,46,52,65,68,66,69,73,76,75,74,69,70,69,58,46,57.6
2017/01/11,沙鹿,PM10,43,42,45,56,63,64,63,69,66,57,60,59,63,72,73,69,67,70,68,67,66,62,56,54,61.4
2017/01/12,沙鹿,PM10,53,54,56,57,58,58,59,62,70,76,67,52,42,42,,35,35,34,30,24,20,23,36,48,47.4
2017/01/13,沙鹿,PM10,51,50,47,42,32,24,18,17,22,23,23,23,24,23,22,25,27,27,27,26,27,29,29,30,28.7
2017/01/14,沙鹿,PM10,27,23,24,19,17,24,28,31,29,24,16,11,11,11,12,16,23,31,45,54,54,49,43,36,27.4
2017/01/15,沙鹿,PM10,32,28,23,21,15,14,18,16,14,17,17,18,16,12,17,14,10,11,10,11,14,13,11,10,15.9
2017/01/16,沙鹿,PM10,12,14,15,15,15,16,16,13,10,17,17,14,17,19,20,25,26,19,17,18,21,23,24,24,17.8
2017/01/17,沙鹿,PM10,26,29,30,27,24,27,26,21,24,28,34,40,43,43,42,38,36,38,40,41,44,47,49,51,35.3
2017/01/18,沙鹿,PM10,47,46,56,54,45,41,35,36,45,41,33,39,45,41,37,41,53,66,63,63,67,63,61,65,49.3
2017/01/19,沙鹿,PM10,65,59,58,62,61,63,55,37,28,30,37,40,39,40,42,36,35,39,41,43,40,42,42,39,44.7
2017/01/20,沙鹿,PM10,37,39,33,22,22,22,22,23,22,24,27,36,46,44,40,42,52,61,66,69,65,62,61,61,41.6
2017/01/21,沙鹿,PM10,64,60,53,45,33,27,30,34,34,39,36,36,41,51,55,52,53,50,50,48,45,44,37,33,43.8
2017/01/22,沙鹿,PM10,34,31,25,25,25,24,25,27,28,33,41,67,94,90,78,76,81,69,60,63,58,56,53,48,50.5
2017/01/23,沙鹿,PM10,53,53,47,43,42,41,35,34,34,31,34,45,54,57,,84,99,149,169,125,74,47,38,37,62.0
2017/01/24,沙鹿,PM10,37,33,33,34,31,29,24,24,24,26,31,38,42,40,43,48,52,42,26,22,20,16,18,18,31.3
2017/01/25,沙鹿,PM10,14,11,9,9,12,16,17,22,26,28,35,40,39,42,51,59,54,43,40,42,39,38,36,29,31.3
2017/01/26,沙鹿,PM10,28,29,30,29,26,23,23,25,27,29,0#,44,37,33,43,53,52,50,51,47,45,45,45,48,37.5
2017/01/27,沙鹿,PM10,74,78,47,35,44,45,38,39,37,43,45,43,41,37,37,38,44,53,49,46,45,47,53,53,46.3
2017/01/28,沙鹿,PM10,55,60,49,34,26,21,21,28,29,22,26,37,42,46,47,43,46,47,47,50,52,63,71,71,43.0
2017/01/29,沙鹿,PM10,74,75,80,80,69,57,51,60,70,64,66,71,69,56,31,17,26,45,53,51,53,55,52,47,57.2
2017/01/30,沙鹿,PM10,40,32,29,28,22,17,21,26,33,42,75,111,107,83,63,66,63,38,26,28,27,25,30,27,44.1
2017/01/31,沙鹿,PM10,24,22,16,12,13,15,14,11,10,15,22,36,45,43,40,36,31,26,28,26,21,21,28,28,24.3
