日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,平均
2017/06/15,沙鹿,PM2.5,1,3,5,7,7,6,4,7,7,-2#,-2#,,,,,,,,,,,,,,5
2017/06/16,沙鹿,PM2.5,,,,,,,,,,,,,478*,23x,51*,43*,4,1,1,2,4,1,1,2,2
2017/06/17,沙鹿,PM2.5,4,9,7,4,5,4,7,6,5,6,4,6,6,1,4,10,14,19,14,6,5,4,3,7,7
2017/06/18,沙鹿,PM2.5,5,1,1,1,4,4,2,2,4,7,4,1,1,2,3,4,3,2,4,7,4,4,2,1,3
2017/06/19,沙鹿,PM2.5,1,1,1,1,4,4,6,4,3,13,,20,18,17,16,15,11,5,6,7,7,7,4,6,8
2017/06/20,沙鹿,PM2.5,13,12,10,6,6,15,14,10,8,5,4,3,4,5,10,9,7,13,8,5,6,6,9,10,8
2017/06/21,沙鹿,PM2.5,11,9,5,4,6,3,1,1,5,9,8,9,18,,15,,,13,9,7,8,6,8,8,8
2017/06/22,沙鹿,PM2.5,4,4,3,6,5,6,8,8,8,11,15,18,13,3,4,11,5,4,8,8,10,9,5,4,8
2017/06/23,沙鹿,PM2.5,6,6,6,7,5,4,6,11,9,5,8,12,10,5,8,5,4,5,7,8,8,10,12,13,8
2017/06/24,沙鹿,PM2.5,6,2,4,5,4,4,7,10,11,7,11,15,11,7,4,3,2,5,14,13,8,6,10,12,8
2017/06/25,沙鹿,PM2.5,8,6,4,1,4,3,3,7,5,5,5,4,4,1,1,3,7,4,5,8,11,10,5,6,5
2017/06/26,沙鹿,PM2.5,6,4,2,1,2,3,1,5,4,3,4,6,8,4,4,8,7,2,5,10,14,12,9,11,6
2017/06/27,沙鹿,PM2.5,11,10,7,7,4,4,6,6,3,1,5,9,,,15,9,6,7,8,10,14,12,4,3,7
2017/06/28,沙鹿,PM2.5,8,6,5,6,4,4,7,5,8,16,12,7,8,8,6,8,7,7,13,13,16,18,13,10,9
2017/06/29,沙鹿,PM2.5,9,7,4,4,8,9,4,6,16,18,10,8,13,12,8,8,6,5,5,6,13,19,19,20,10
2017/06/30,沙鹿,PM2.5,17,11,11,10,9,10,15,22,21,16,25,33,29,31,32,33,29,18,16,17,11,7,12,18,19
