日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,南投,PM10,67,70,67,58,52,48,49,47,41,40,49,61,67,82,92,78,69,72,75,74,83,86,82,77
2017/01/02,南投,PM10,77,83,83,78,72,76,73,64,61,67,77,76,71,73,75,78,77,79,88,93,93,88,80,79
2017/01/03,南投,PM10,76,65,60,58,53,49,48,60,66,59,61,65,71,78,82,84,84,86,84,83,75,68,64,57
2017/01/04,南投,PM10,58,59,57,54,48,45,46,52,63,72,78,74,76,98,,102,104,106,104,95,96,96,84,84
2017/01/05,南投,PM10,98,95,84,96,101,87,73,67,67,63,58,62,68,67,59,66,98,121,123,118,114,108,103,97
2017/01/06,南投,PM10,93,84,71,70,66,63,75,94,109,110,110,97,80,81,88,103,105,104,113,119,125,128,124,124
2017/01/07,南投,PM10,135,143,135,120,119,116,99,90,82,67,63,88,106,94,79,81,96,102,109,122,116,95,80,61
2017/01/08,南投,PM10,46,44,44,41,40,36,30,34,40,41,43,54,53,45,44,49,61,70,72,69,65,64,63,56
2017/01/09,南投,PM10,54,50,45,39,30,37,44,42,46,50,55,55,57,61,57,71,83,78,74,63,55,55,50,50
2017/01/10,南投,PM10,52,46,47,53,55,50,48,58,66,67,66,67,64,65,74,77,73,87,103,98,92,91,82,75
2017/01/11,南投,PM10,70,69,73,71,68,68,70,72,76,82,71,70,84,89,86,86,90,85,84,85,83,79,76,77
2017/01/12,南投,PM10,77,73,74,77,76,74,81,89,92,104,114,112,112,105,105,101,81,69,63,62,53,49,49,47
2017/01/13,南投,PM10,56,70,67,62,65,65,60,58,49,42,48,,58,61,60,51,50,53,45,41,42,36,35,38
2017/01/14,南投,PM10,39,39,36,31,25,22,29,33,30,25,28,32,34,37,42,46,48,45,35,36,48,57,62,63
2017/01/15,南投,PM10,55,53,62,62,49,37,35,31,27,34,44,49,51,49,53,54,45,38,35,31,31,35,32,24
2017/01/16,南投,PM10,21,22,24,25,25,26,26,26,32,35,36,40,39,38,39,42,46,52,52,51,50,47,49,44
2017/01/17,南投,PM10,42,43,42,48,48,49,55,58,63,63,64,67,65,60,0#,74,72,68,63,59,57,58,56,52
2017/01/18,南投,PM10,50,45,41,44,56,62,65,77,80,81,73,61,61,63,68,68,66,68,65,65,68,65,57,52
2017/01/19,南投,PM10,51,58,61,58,56,58,57,59,70,73,64,55,53,56,54,47,53,67,69,59,61,64,59,58
2017/01/20,南投,PM10,58,56,51,48,47,32,20,24,32,32,31,44,56,59,61,58,59,64,66,67,65,71,84,94
2017/01/21,南投,PM10,97,89,79,71,62,53,45,44,48,49,51,58,63,63,70,83,85,76,67,60,58,58,58,56
2017/01/22,南投,PM10,50,47,45,41,47,49,40,38,47,48,43,53,63,63,63,61,63,65,66,74,78,72,73,74
2017/01/23,南投,PM10,72,66,63,63,59,61,65,72,81,83,87,,93,86,77,75,79,78,78,73,68,68,65,61
2017/01/24,南投,PM10,58,62,65,62,59,61,64,67,69,79,97,106,105,98,94,93,86,74,62,47,42,39,34,32
2017/01/25,南投,PM10,26,28,29,26,25,26,31,36,40,43,46,53,55,55,0#,67,76,80,64,51,53,50,40,42
2017/01/26,南投,PM10,42,37,36,32,29,30,32,36,40,41,42,46,46,46,42,42,60,79,78,70,64,66,65,64
2017/01/27,南投,PM10,62,60,54,53,54,48,43,46,52,49,45,56,55,44,40,40,44,60,64,63,76,76,64,63
2017/01/28,南投,PM10,61,51,44,40,33,33,35,44,50,43,38,39,43,32,28,44,44,44,51,55,64,72,74,72
2017/01/29,南投,PM10,72,67,57,52,46,41,39,46,58,62,61,53,46,46,40,40,30,34,48,64,79,79,69,64
2017/01/30,南投,PM10,64,61,63,63,59,61,67,68,68,63,50,48,53,78,88,70,54,35,27,27,21,23,25,22
2017/01/31,南投,PM10,20,21,21,23,27,29,30,31,29,26,29,31,32,39,51,53,52,51,44,48,48,41,45,41
2017/02/01,南投,PM10,35,35,33,32,32,30,31,35,39,46,46,43,44,42,35,31,29,25,25,25,25,26,25,22
2017/02/02,南投,PM10,16,17,17,12,10,9,9,15,24,30,34,37,38,42,47,48,50,55,59,59,58,52,50,53
2017/02/03,南投,PM10,53,54,55,54,51,54,62,62,63,75,81,77,73,0#,65,64,65,62,62,65,64,67,66,73
2017/02/04,南投,PM10,83,79,76,72,69,68,67,66,73,91,96,83,84,81,69,74,80,81,84,88,82,86,99,102
2017/02/05,南投,PM10,97,84,73,59,51,52,46,53,59,67,75,71,64,54,61,67,63,64,66,67,66,69,71,70
2017/02/06,南投,PM10,71,53,34,35,43,44,42,46,55,62,62,0#,76,73,63,80,115,122,105,91,82,74,74,75
2017/02/07,南投,PM10,70,65,67,66,68,72,69,67,71,82,98,109,113,113,113,110,112,121,115,100,95,98,96,86
2017/02/08,南投,PM10,80,86,86,85,86,86,84,82,91,98,103,109,117,118,104,90,89,93,94,90,81,79,75,60
2017/02/09,南投,PM10,48,40,24,16,24,28,24,22,24,31,38,40,35,38,58,70,59,51,48,47,50,58,68,75
2017/02/10,南投,PM10,74,67,62,56,53,55,59,64,68,69,76,85,86,87,90,90,94,101,97,84,80,77,78,80
2017/02/11,南投,PM10,77,74,70,63,52,50,59,68,70,75,82,74,69,73,76,85,91,92,85,69,68,68,62,61
2017/02/12,南投,PM10,57,52,55,61,63,54,46,47,48,53,62,66,65,58,54,56,60,74,77,67,56,49,47,49
2017/02/13,南投,PM10,47,40,42,47,40,36,45,56,64,60,53,54,58,54,51,54,59,69,78,81,80,78,71,63
2017/02/14,南投,PM10,56,53,52,53,54,50,44,49,55,52,45,40,51,63,71,76,71,74,76,84,95,95,101,105
2017/02/15,南投,PM10,106,104,99,90,79,75,71,70,82,78,0#,84,85,79,66,58,56,58,66,77,89,92,84,81
2017/02/16,南投,PM10,81,80,74,63,55,56,56,68,96,106,90,78,76,63,56,46,35,41,41,40,49,50,41,38
2017/02/17,南投,PM10,44,44,38,33,34,34,37,43,45,41,39,41,46,56,56,52,60,72,63,55,60,62,64,63
2017/02/18,南投,PM10,60,59,53,49,48,53,57,57,70,75,66,74,86,110,140,140,130,115,106,101,97,97,97,95
2017/02/19,南投,PM10,90,87,88,86,80,80,86,86,83,85,87,100,104,87,86,96,95,92,102,110,99,89,95,99
2017/02/20,南投,PM10,94,87,81,73,63,56,50,49,53,1000*,1000*,52,51,56,73,80,75,81,87,89,90,86,85,82
2017/02/21,南投,PM10,79,84,83,82,74,56,48,48,48,55,70,74,72,71,78,86,89,93,90,85,82,82,81,85
2017/02/22,南投,PM10,92,94,97,96,88,84,84,74,70,79,76,0#,0#,55,54,47,41,48,59,59,58,62,61,57
2017/02/23,南投,PM10,59,54,46,46,46,43,46,57,71,81,92,97,90,79,72,67,58,49,44,40,41,42,37,36
2017/02/24,南投,PM10,33,32,29,24,24,25,27,35,36,41,48,45,43,38,35,38,41,39,33,32,37,38,35,31
2017/02/25,南投,PM10,29,33,33,32,33,31,31,31,28,29,32,32,34,41,39,35,39,37,35,35,37,39,38,41
2017/02/26,南投,PM10,44,43,47,35,21,22,22,21,20,19,17,21,23,23,23,28,33,38,40,38,41,39,37,38
2017/02/27,南投,PM10,42,46,46,46,46,45,40,40,42,42,46,59,69,67,67,68,70,74,72,65,62,63,62,64
2017/02/28,南投,PM10,70,71,66,64,70,72,70,71,74,76,79,81,82,83,84,81,76,87,77,55,58,62,66,64
2017/03/01,南投,PM10,63,61,56,61,59,54,58,61,59,60,66,71,64,51,44,51,58,61,59,56,60,63,62,54
2017/03/02,南投,PM10,54,60,59,58,56,48,51,71,86,88,89,93,95,101,107,110,110,102,101,101,89,82,80,74
2017/03/03,南投,PM10,72,71,74,76,74,72,70,74,86,94,0#,107,117,118,94,79,80,82,82,77,78,82,85,80
2017/03/04,南投,PM10,72,71,74,75,75,72,72,76,81,86,91,90,76,67,72,73,60,55,62,73,82,77,73,72
2017/03/05,南投,PM10,65,63,55,54,59,58,59,63,67,74,75,69,69,71,72,69,60,55,63,75,83,76,63,57
2017/03/06,南投,PM10,60,62,59,49,45,39,24,17,21,26,33,34,42,50,0#,40,41,44,45,42,50,55,53,62
2017/03/07,南投,PM10,71,80,86,86,89,89,89,86,84,77,66,69,76,74,63,56,55,50,48,47,44,52,51,48
2017/03/08,南投,PM10,51,50,47,48,53,49,43,45,51,52,50,51,49,51,51,49,46,52,66,67,61,54,51,55
2017/03/09,南投,PM10,61,63,61,61,59,57,63,70,70,52,41,55,72,85,93,96,100,102,103,108,118,121,121,121
2017/03/10,南投,PM10,117,120,117,107,104,102,102,106,108,112,100,72,53,54,67,100,109,89,85,86,84,74,50,36
2017/03/11,南投,PM10,39,43,46,58,64,65,75,78,85,87,81,83,77,75,84,78,70,61,48,44,46,52,59,65
2017/03/12,南投,PM10,66,71,74,72,74,78,86,93,94,90,78,69,70,72,91,111,113,119,143,160,159,155,132,117
2017/03/13,南投,PM10,123,122,111,103,107,93,74,77,70,52,52,43,47,51,55,57,62,73,81,80,70,70,71,60
