日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/02/18,南投,PM2.5,34,34,35,34,32,34,39,38,42,46,46,49,48,59,71,64,57,54,53,48,47,52,51,49
2017/02/19,南投,PM2.5,46,44,48,48,47,44,43,46,47,50,54,60,64,56,56,57,47,43,50,57,54,51,59,60
2017/02/20,南投,PM2.5,53,51,51,47,39,33,30,35,37,33,30,28,29,30,42,56,55,53,53,52,51,53,55,55
2017/02/21,南投,PM2.5,57,57,58,57,49,41,33,27,24,26,34,38,36,37,38,35,33,34,35,35,38,37,32,27
2017/02/22,南投,PM2.5,30,38,45,40,37,40,39,39,43,52,50,-9#,38,34,28,22,21,28,34,33,32,33,36,36
2017/02/23,南投,PM2.5,29,25,26,28,24,22,23,29,36,40,49,54,54,49,41,36,30,27,23,19,21,25,21,17
2017/02/24,南投,PM2.5,19,17,16,14,9,11,11,13,18,19,24,24,18,12,9,10,11,12,12,11,15,18,-9#,18
2017/02/25,南投,PM2.5,16,17,18,20,18,17,20,18,15,16,17,16,16,19,18,13,11,13,15,18,20,19,19,20
2017/02/26,南投,PM2.5,22,22,22,17,10,10,10,8,8,7,5,6,6,6,7,12,16,19,21,18,19,19,14,19
2017/02/27,南投,PM2.5,26,26,27,25,23,20,19,22,22,18,21,27,33,36,38,40,40,40,35,27,34,38,35,39
2017/02/28,南投,PM2.5,44,46,45,42,42,42,40,41,48,53,49,52,57,55,52,48,47,62,54,33,32,34,35,35
2017/03/01,南投,PM2.5,38,39,37,38,37,29,34,42,38,34,38,42,41,32,25,28,30,32,33,27,26,32,35,36
2017/03/02,南投,PM2.5,35,34,40,38,33,29,33,40,47,50,53,57,54,48,46,44,40,41,40,33,30,28,27,28
2017/03/03,南投,PM2.5,29,33,34,34,33,34,34,37,43,48,-9#,61,62,66,50,37,37,36,36,34,35,34,33,37
2017/03/04,南投,PM2.5,37,38,40,41,40,40,40,44,49,49,48,45,36,33,37,35,32,34,38,44,46,42,40,41
2017/03/05,南投,PM2.5,42,41,40,37,39,41,40,39,38,41,45,41,40,46,46,38,29,27,32,45,51,45,39,33
2017/03/06,南投,PM2.5,33,35,33,29,27,25,13,6,7,8,13,18,25,28,-9#,24,23,22,21,24,28,28,28,36
2017/03/07,南投,PM2.5,43,48,54,57,56,56,57,55,52,47,38,37,40,35,29,25,23,23,22,22,26,26,28,30
2017/03/08,南投,PM2.5,29,30,34,37,36,34,29,30,36,35,33,33,32,36,38,34,30,37,45,41,37,34,29,30
2017/03/09,南投,PM2.5,37,45,45,39,37,40,38,40,41,33,24,29,47,61,71,78,74,67,69,73,80,83,83,88
2017/03/10,南投,PM2.5,87,87,87,80,74,75,75,74,79,84,75,50,33,35,48,83,90,63,53,47,43,37,25,21
2017/03/11,南投,PM2.5,23,29,30,38,43,43,46,49,56,58,51,54,54,57,66,55,35,23,19,21,21,22,28,30
2017/03/12,南投,PM2.5,37,41,39,42,44,42,45,54,57,55,52,54,57,56,63,73,69,74,81,81,80,83,81,80
2017/03/13,南投,PM2.5,84,81,74,69,68,56,46,44,40,35,28,25,27,33,37,37,39,40,43,44,42,46,47,45
2017/03/14,南投,PM2.5,36,27,20,13,12,11,9,11,9,11,-9#,11,11,14,22,25,22,23,28,34,32,29,29,24
2017/03/15,南投,PM2.5,19,17,19,20,20,22,25,25,23,24,24,27,40,49,51,54,57,48,35,29,26,26,33,38
2017/03/16,南投,PM2.5,42,40,38,39,40,39,34,27,29,39,45,45,46,42,28,19,23,26,23,22,27,29,27,25
2017/03/17,南投,PM2.5,28,29,28,27,28,27,26,28,35,36,43,54,56,59,60,49,40,38,37,36,38,41,46,52
2017/03/18,南投,PM2.5,57,56,49,44,45,47,44,46,54,61,68,70,69,63,57,46,42,39,35,42,48,51,55,61
2017/03/19,南投,PM2.5,66,67,60,61,61,58,58,56,55,53,46,-9#,30,26,22,22,29,33,41,50,45,39,35,37
2017/03/20,南投,PM2.5,41,40,36,37,41,44,42,35,44,55,57,58,61,62,58,58,57,50,45,44,41,40,34,35
2017/03/21,南投,PM2.5,41,37,33,33,33,35,38,39,44,47,46,41,30,29,34,32,28,26,24,20,17,18,17,19
2017/03/22,南投,PM2.5,23,23,23,23,23,28,28,29,35,43,-9#,45,45,54,61,61,53,51,49,43,45,46,37,30
2017/03/23,南投,PM2.5,30,30,28,21,21,24,23,26,28,19,13,12,14,11,8,14,20,23,29,33,32,36,34,35
2017/03/24,南投,PM2.5,39,40,39,33,35,32,24,25,36,,28,42,52,45,37,32,33,33,35,38,45,50,51,51
2017/03/25,南投,PM2.5,46,45,43,41,39,32,29,26,25,30,30,21,18,22,22,20,19,16,9,8,14,13,9,10
2017/03/26,南投,PM2.5,11,10,9,9,7,3,3,8,11,11,15,26,33,32,28,29,33,34,35,34,37,40,41,39
2017/03/27,南投,PM2.5,37,33,25,21,17,11,11,19,19,11,13,19,19,20,25,26,27,28,32,39,40,42,43,36
2017/03/28,南投,PM2.5,37,33,24,24,24,22,24,28,25,24,33,41,43,46,48,41,28,30,39,50,64,64,59,66
